19,3,Milkshake,0000-00-00 00:00:00,0000-00-00 00:00:00
18,3,Wine,0000-00-00 00:00:00,0000-00-00 00:00:00
17,3,Cocktail,0000-00-00 00:00:00,0000-00-00 00:00:00
16,3,Juice,0000-00-00 00:00:00,0000-00-00 00:00:00
15,3,Iced Tea,0000-00-00 00:00:00,0000-00-00 00:00:00
14,3,Coffe,0000-00-00 00:00:00,0000-00-00 00:00:00
13,2,Cabbage,0000-00-00 00:00:00,0000-00-00 00:00:00
12,2,Leek,0000-00-00 00:00:00,0000-00-00 00:00:00
11,2,Lettuce,0000-00-00 00:00:00,0000-00-00 00:00:00
10,2,Broccoli,0000-00-00 00:00:00,0000-00-00 00:00:00
9,2,Spinach,0000-00-00 00:00:00,0000-00-00 00:00:00
8,1,Cherry,0000-00-00 00:00:00,0000-00-00 00:00:00
7,1,Apple,0000-00-00 00:00:00,0000-00-00 00:00:00
6,1,Banana,0000-00-00 00:00:00,0000-00-00 00:00:00
5,1,Guava,0000-00-00 00:00:00,0000-00-00 00:00:00
4,1,Strawberry,0000-00-00 00:00:00,0000-00-00 00:00:00
3,1,Oranges,0000-00-00 00:00:00,0000-00-00 00:00:00
2,1,Grapes,0000-00-00 00:00:00,0000-00-00 00:00:00
1,1,Mango,0000-00-00 00:00:00,0000-00-00 00:00:00
